bin,n,predicted,observed
0,36975,0.08794619674779763,0.07469912102772143
1,36975,0.1187883971233796,0.10647734956051386
2,36975,0.13332440550779798,0.11478025693035836
3,36975,0.14340639734429417,0.11910750507099392
4,36975,0.15176293784400213,0.12567951318458417
5,36975,0.15955680401629474,0.1285733603786342
6,36975,0.16736394053900464,0.13993238674780256
7,36975,0.17590708909832925,0.1538607167004733
8,36975,0.18775967607820748,0.18298850574712644
9,36975,0.221734044493457,0.21041244083840432
