ccn,state,county,county_fips,harm_survey_week,flagged,first_crossing_week,lead_days,score_at_crossing,prior_harm_rate_at_crossing,hprd_total_at_crossing,hprd_rn_at_crossing,rn_share_at_crossing,contract_frac_at_crossing,weekend_gap_at_crossing,hprd_cv_at_crossing,hprd_trend_at_crossing,low_days_frac_at_crossing,census_at_crossing,matched_controls,matched_controls_not_flagged
015060,AL,Jefferson,073,2025-05-05,0,,,,,,,,,,,,,,53,48
015133,AL,Jefferson,073,2025-06-02,1,2025-03-24,70,0.178568,0.155492,3.278918,0.489373,0.149248,0.0,0.174084,0.106625,0.091315,0.673913,132.141304,31,28
015136,AL,Morgan,103,2025-09-01,0,,,,,,,,,,,,,,58,49
015155,AL,Walker,127,2025-08-04,0,,,,,,,,,,,,,,31,27
015320,AL,Coffee,031,2026-01-12,0,,,,,,,,,,,,,,14,11
015369,AL,Jefferson,073,2025-09-22,0,,,,,,,,,,,,,,35,22
015379,AL,Mobile,097,2025-06-23,0,,,,,,,,,,,,,,58,49
015406,AL,Mobile,097,2025-04-14,1,2025-03-24,21,0.17602,0.263909,3.16233,0.230688,0.072949,0.0,0.159404,0.1139,-0.022645,0.826087,74.206522,53,49
025025,AK,Anchorage,020,2025-06-16,0,,,,,,,,,,,,,,1,1
025025,AK,Anchorage,020,2025-12-22,0,,,,,,,,,,,,,,1,1
025036,AK,Anchorage,020,2025-05-19,0,,,,,,,,,,,,,,1,1
025036,AK,Anchorage,020,2025-11-24,0,,,,,,,,,,,,,,1,1
035016,AZ,Pima,019,2025-09-08,0,,,,,,,,,,,,,,33,18
035062,AZ,Maricopa,013,2025-12-15,0,,,,,,,,,,,,,,33,19
035062,AZ,Maricopa,013,2026-03-02,0,,,,,,,,,,,,,,32,18
035064,AZ,Pima,019,2026-03-23,0,,,,,,,,,,,,,,0,0
035091,AZ,Coconino,005,2025-04-28,0,,,,,,,,,,,,,,33,23
035092,AZ,Maricopa,013,2025-11-03,0,,,,,,,,,,,,,,4,4
035099,AZ,Pima,019,2025-04-21,0,,,,,,,,,,,,,,11,9
035107,AZ,Maricopa,013,2025-12-15,1,2025-06-23,175,0.174499,0.0,3.289515,0.316325,0.096161,0.0,0.190223,0.107521,0.040161,0.663043,105.902174,20,17
035118,AZ,Yavapai,025,2026-02-09,0,,,,,,,,,,,,,,21,17
035135,AZ,Maricopa,013,2025-05-19,0,,,,,,,,,,,,,,1,1
035139,AZ,Navajo,017,2025-04-14,1,2025-03-24,21,0.1959,0.35844,2.811165,0.648024,0.230518,0.0,0.220181,0.167899,0.140934,0.913043,49.728261,19,17
035145,AZ,Pima,019,2025-06-09,0,,,,,,,,,,,,,,1,1
035159,AZ,Maricopa,013,2025-10-27,0,,,,,,,,,,,,,,11,8
035164,AZ,Maricopa,013,2025-06-02,0,,,,,,,,,,,,,,33,22
035165,AZ,Pima,019,2025-08-11,0,,,,,,,,,,,,,,20,17
035172,AZ,Graham,009,2026-02-09,1,2025-08-18,175,0.17121,0.0,2.947229,1.103678,0.37448,0.0,0.16256,0.101901,-0.006505,0.977778,75.5,32,30
035175,AZ,Maricopa,013,2025-04-14,0,,,,,,,,,,,,,,11,9
035189,AZ,Pima,019,2026-01-19,1,2025-07-28,175,0.176773,0.0,3.227105,0.321439,0.099606,0.036541,0.179361,0.105036,-0.031674,0.771739,91.956522,32,19
035216,AZ,Pinal,021,2025-09-15,0,,,,,,,,,,,,,,33,18
035244,AZ,Yavapai,025,2025-07-07,0,,,,,,,,,,,,,,33,27
035277,AZ,Navajo,017,2025-06-09,1,2025-03-24,77,0.195997,0.0,2.620794,0.438516,0.167322,0.0,0.237136,0.149052,-0.098186,1.0,97.336957,33,23
045143,AR,Benton,007,2025-05-05,0,,,,,,,,,,,,,,24,22
045172,AR,Chicot,017,2025-12-22,0,,,,,,,,,,,,,,26,24
045176,AR,Drew,043,2025-06-30,0,,,,,,,,,,,,,,69,61
045201,AR,Bradley,011,2025-05-12,0,,,,,,,,,,,,,,73,66
045222,AR,Woodruff,147,2025-09-15,0,,,,,,,,,,,,,,74,66
045228,AR,Prairie,117,2025-06-02,0,,,,,,,,,,,,,,25,22
045290,AR,Yell,149,2025-06-23,0,,,,,,,,,,,,,,73,65
045315,AR,Craighead,031,2025-07-21,0,,,,,,,,,,,,,,73,65
045323,AR,Jackson,067,2025-06-23,0,,,,,,,,,,,,,,69,61
045366,AR,Mississippi,093,2025-05-05,0,,,,,,,,,,,,,,68,61
045370,AR,Crawford,033,2026-03-09,0,,,,,,,,,,,,,,71,63
045440,AR,Mississippi,093,2025-05-12,0,,,,,,,,,,,,,,68,61
045456,AR,Sebastian,131,2025-05-19,0,,,,,,,,,,,,,,69,61
045460,AR,Pulaski,119,2025-12-01,0,,,,,,,,,,,,,,30,28
055008,CA,San Diego,073,2026-02-23,0,,,,,,,,,,,,,,47,45
