bin,n,predicted,observed
0,254763,0.00924374347663573,0.011775650310288386
1,254763,0.012676664405518945,0.0071517449551151465
2,254763,0.012910818512623618,0.01906870306912699
3,254763,0.013921271630386131,0.016289649595898934
4,254763,0.016545816826601258,0.021875233059745723
5,254763,0.01997241379281632,0.015524232325730188
6,254763,0.021317816587086234,0.023763262326161962
7,254763,0.024089779719358762,0.02025804375046612
8,254763,0.026837355179719587,0.02203224173054957
9,254763,0.037056693004069496,0.03208079666199566
10,9,0.9999775035579428,1.0
