make,model,model_year,component_group,recall_report_week,campaign_numbers,flagged,first_crossing_week,lead_days,score_at_crossing,n_trailing_at_crossing,rate_ratio_at_crossing,accel_at_crossing,severity_frac_at_crossing,hazard_lang_at_crossing,matched_controls,matched_controls_not_flagged
BMW,X5,2010,ENGINE,2023-10-19,23V707000,1,2023-07-06,105,0.027603,1.0,0.866667,1.0,0.0,0.0,75,0
HONDA,CR-V,2008,STRUCTURE,2023-03-30,23V228000,1,2022-10-06,175,0.024426,1.0,1.444444,1.0,0.0,0.0,97,0
BMW,325I,2006,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,22,0
HONDA,ACCORD,2013,POWER TRAIN,2025-07-03,25V422000,1,2025-01-09,175,0.023344,2.0,0.962963,0.0,0.0,0.5,117,0
HONDA,ACCORD,2013,FUEL/PROPULSION SYSTEM,2023-12-14,23V858000,0,,,,,,,,,142,0
FORD,ESCAPE,2013,POWER TRAIN,2022-06-09,22V413000,1,2021-12-16,175,0.033621,7.0,0.978495,0.0,0.0,0.0,346,0
BMW,X5,2011,ENGINE,2023-10-19,23V707000,1,2023-09-21,28,0.013191,1.0,4.333333,1.0,0.0,0.0,88,0
TOYOTA,TUNDRA,2004,SUSPENSION,2022-01-13,22E002000,1,2021-07-22,175,0.027025,1.0,0.866667,0.0,0.0,0.0,132,0
BMW,528I,2012,ELECTRICAL SYSTEM,2024-08-08,24V608000,0,,,,,,,,,100,0
BUICK,ENCLAVE,2011,AIR BAGS,2021-10-07,21V782000,1,2021-04-15,175,0.026367,1.0,1.083333,1.0,0.0,0.0,61,0
BMW,3 SERIES,2007,ENGINE,2022-02-24,22V119000,0,,,,,,,,,75,0
NISSAN,ARMADA,2008,AIR BAGS,2023-02-09,23V067000,1,2022-09-29,133,0.013191,1.0,4.333333,1.0,0.0,0.0,82,0
TOYOTA,SEQUOIA,2006,SUSPENSION,2022-01-13,22E002000,1,2021-09-16,119,0.013191,1.0,4.333333,1.0,0.0,0.0,159,0
EVENFLO,SYMPHONY,9999,CHILD SEAT,2025-03-13,25C003000,0,,,,,,,,,21,0
KIA,SOUL,2012,SERVICE BRAKES,2023-09-21,23V652000,1,2023-06-22,91,0.023496,1.0,2.166667,1.0,1.0,1.0,137,0
VOLVO,S60,2002,AIR BAGS,2021-09-30,21V766000,1,2021-04-08,175,0.012911,1.0,4.333333,0.0,0.0,0.0,9,0
SUBARU,FORESTER,2011,SEAT BELTS,2022-11-10,22V838000,0,,,,,,,,,59,0
HONDA,CR-V,2007,STRUCTURE,2023-03-30,23V228000,1,2022-10-06,175,0.020954,1.0,2.166667,1.0,0.0,0.0,105,0
NISSAN,FRONTIER,2011,AIR BAGS,2023-02-09,23V067000,0,,,,,,,,,119,0
KIA,SORENTO,2011,SERVICE BRAKES,2023-09-21,23V652000,1,2023-04-20,154,0.009409,1.0,4.333333,1.0,0.0,1.0,99,0
HONDA,RIDGELINE,2006,STRUCTURE,2022-06-16,22V430000,0,,,,,,,,,87,0
NISSAN,VERSA,2012,AIR BAGS,2022-08-04,22E066000,1,2022-02-10,175,0.023913,1.0,1.444444,0.0,0.0,0.0,143,0
BMW,335I,2008,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,41,0
HYUNDAI,ELANTRA,2013,SERVICE BRAKES,2023-09-21,23V651000,1,2023-03-30,175,0.01711,1.0,1.444444,0.0,0.0,1.0,190,0
HYUNDAI,ELANTRA,2011,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,122,0
HYUNDAI,VELOSTER,2012,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,170,0
BMW,330I,2006,AIR BAGS,2024-06-27,24V513000,1,2024-06-20,7,0.013191,1.0,4.333333,1.0,0.0,0.0,21,0
KIA,SORENTO,2011,ENGINE,2023-12-21,23V877000,1,2023-06-29,175,0.030967,2.0,0.412698,0.0,0.0,0.0,111,0
NISSAN,FRONTIER,2008,AIR BAGS,2023-02-09,23V067000,0,,,,,,,,,83,0
KIA,SORENTO,2012,SERVICE BRAKES,2023-09-21,23V652000,1,2023-09-21,0,0.013191,1.0,4.333333,1.0,0.0,0.0,137,0
TOYOTA,SEQUOIA,2007,SUSPENSION,2022-01-13,22E002000,0,,,,,,,,,171,0
BMW,328I,2007,AIR BAGS,2024-06-27,24V513000,1,2024-05-09,49,0.013191,1.0,4.333333,1.0,0.0,0.0,35,0
BMW,325XI,2006,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,22,0
KIA,SOUL,2011,SERVICE BRAKES,2023-09-21,23V652000,1,2023-03-30,175,0.009208,1.0,4.333333,0.0,0.0,1.0,99,0
TOYOTA,SEQUOIA,2005,SUSPENSION,2022-01-13,22E002000,0,,,,,,,,,138,0
